Date,Monthly_NDVI,Rain3mo,SPI_3M
11/30/2011,0.4806,533.06,-0.114337037
12/31/2011,0.5166,373.12,-0.022563038
1/31/2012,0.545,223.95,0.826888506
2/29/2012,0.65185,105.86,1.023637554
3/31/2012,0.6004,140.66,1.753222651
4/30/2012,0.52475,230.15,1.685020588
5/31/2012,0.54335,318.84,0.763302592
6/30/2012,0.5773,405.13,-0.110046488
7/31/2012,0.6035,480.77,-0.589846463
8/31/2012,0.6388,405.43,-1.131036943
9/30/2012,0.3958,561.44,-0.25784979
10/31/2012,0.59535,606.23,0.006626054
11/30/2012,0.5696,637.08,0.605551588
12/31/2012,0.5644,353.42,-0.19743252
1/31/2013,0.7396,137.18,-0.381830656
2/28/2013,0.67805,34.14,-0.383356392
3/31/2013,0.34085,25,-0.106694883
4/30/2013,0.4812,63.71,0.132393997
5/31/2013,0.55135,146.84,-0.717763485
6/30/2013,0.3426,339.65,-0.556070741
7/31/2013,0.39935,406.88,-1.0260809
8/31/2013,0.55405,450.27,-0.854809714
9/30/2013,0.49345,394.83,-1.391023022
10/31/2013,0.4745,451.34,-1.072637402
11/30/2013,0.51025,421.63,-0.999207148
12/31/2013,0.49285,293.76,-0.770818739
1/31/2014,0.6968,117.52,-0.72479793
2/28/2014,0.7023,12.27,-1.302506022
3/31/2014,0.5637,2.74,-1.451644517
4/30/2014,0.45175,19.73,-0.81968461
5/31/2014,0.60755,85.19,-1.564472977
6/30/2014,0.6587,263.03,-1.16020426
7/31/2014,0.47555,438.69,-0.832124306
8/31/2014,0.5176,469.98,-0.739362224
9/30/2014,0.44635,410.09,-1.274912338
10/31/2014,0.4329,369.8,-1.746420388
11/30/2014,0.421,368.96,-1.473932936
12/31/2014,0.60625,278.16,-0.933655574
1/31/2015,0.7364,128.99,-0.520332982
2/28/2015,0.6623,33.38,-0.406505301
3/31/2015,0.50185,4.93,-1.156990347
4/30/2015,0.45515,12.37,-1.124291753
5/31/2015,0.50775,67.39,-1.891124312
6/30/2015,0.56815,266.46,-1.130720063
7/31/2015,0.58045,395.1,-1.100560945
8/31/2015,0.53665,475.21,-0.70928651
9/30/2015,0.5128,459,-0.921726387
10/31/2015,0.5246,475.75,-0.887404131
11/30/2015,0.45905,420.02,-1.013097238
12/31/2015,0.6509,281.87,-0.894374181
1/31/2016,0.75835,125.83,-0.575376639
2/29/2016,0.65395,46.95,-0.038239374
3/31/2016,0.495,2.06,-1.583612767
4/30/2016,0.52905,1.86,-2.102745166
5/31/2016,0.507,222.04,0.025219761
6/30/2016,0.6046,358.16,-0.424473928
7/31/2016,0.54315,501.01,-0.478446935
8/31/2016,0.37725,370.29,-1.36268628
9/30/2016,0.45115,385.25,-1.465511519
10/31/2016,0.5033,504.87,-0.674715102
11/30/2016,0.5247,569.56,0.148120228
12/31/2016,0.43155,506.66,1.025670209
1/31/2017,0.67415,280.31,1.452150962
2/28/2017,0.74955,146.79,1.544740532
3/31/2017,0.5596,77.39,0.977473894
4/30/2017,0.50845,94.47,0.536289167
5/31/2017,0.33215,244.53,0.213302665
6/30/2017,0.66315,344.08,-0.524139653
7/31/2017,0.3078,462.97,-0.690487528
8/31/2017,0.6061,474.06,-0.715880242
9/30/2017,0.597,514.02,-0.553953901
10/31/2017,0.4415,623.87,0.117210886
11/30/2017,0.50435,566.28,0.125002189
12/31/2017,0.4271,484.46,0.86522322
1/31/2018,0.5406,268.7,1.330476122
2/28/2018,0.76885,146.28,1.538848528
3/31/2018,0.64535,93.59,1.20539877
4/30/2018,0.5524,58.44,0.050561887
5/31/2018,0.5817,241.82,0.191268348
6/30/2018,0.63795,562.43,0.79252767
7/31/2018,0.63835,867,1.157125316
8/31/2018,0.462,875.49,1.132952203
9/30/2018,0.5421,757.47,0.814175281
10/31/2018,0.5214,597.81,-0.046917256
11/30/2018,0.5444,476.67,-0.544621211
12/31/2018,0.697,315.17,-0.556673175
1/31/2019,0.79215,175.64,0.202887264
2/28/2019,0.68895,105.42,1.017395668
3/31/2019,0.5025,68.25,0.835252584
4/30/2019,0.53445,63.9,0.135256401
5/31/2019,0.40185,307.88,0.687899742
6/30/2019,0.62895,722.74,1.554810973
7/31/2019,0.66375,940.02,1.4254195
8/31/2019,0.5872,969.7,1.480439458
9/30/2019,0.5506,770.32,0.877681773
10/31/2019,0.5876,634.38,0.18211004
11/30/2019,0.58685,455.75,-0.712980583
12/31/2019,0.67635,212.62,-1.696451846
1/31/2020,0.7753,99.91,-1.067394471
2/29/2020,0.6705,2.68,-2.321929361
3/31/2020,0.52775,17.49,-0.376975939
4/30/2020,0.5613,71.77,0.249061302
5/31/2020,0.6007,202.82,-0.145936631
6/30/2020,0.4692,1159.21,3.194472937
7/31/2020,0.69705,1346.66,2.717776347
8/31/2020,0.692,1450.33,2.98134343
9/30/2020,0.60745,877.77,1.383460971
10/31/2020,0.5281,1134.19,2.688730619
11/30/2020,0.5425,1002.09,2.647262208
12/31/2020,0.4695,671.59,2.095032429
1/31/2021,0.71775,188.98,0.385476764
2/28/2021,0.68355,92.36,0.823993339
3/31/2021,0.564,25.26,-0.098443415
4/30/2021,0.62635,158.22,1.155163604
5/31/2021,0.4841,486.64,1.753167095
6/30/2021,0.62905,699.26,1.450498845
7/31/2021,0.61435,944.52,1.441507017
8/31/2021,0.5792,910.39,1.264373683
9/30/2021,0.6264,1029.75,2.034513226
10/31/2021,0.5598,933.07,1.788782957
11/30/2021,0.50295,834.74,1.784082903
12/31/2021,0.6167,514.12,1.078554537
1/31/2022,0.6791,216.98,0.742718581
2/28/2022,0.7359,26.43,-0.637815316
3/31/2022,0.57845,158.99,1.935857239
4/30/2022,0.57915,299.94,2.109181807
5/31/2022,0.63255,608.33,2.341299822
6/30/2022,0.46395,694.79,1.430387009
7/31/2022,0.58465,972.27,1.539640353
8/31/2022,0.67,929.63,1.335434793
9/30/2022,0.402,954.33,1.719778221
10/31/2022,0.2364,769.48,0.959322424
11/30/2022,0.442,682.48,0.895377189
12/31/2022,0.54225,489.73,0.903739209
1/31/2023,0.7689,280.86,1.457834324
2/28/2023,0.7,92.66,0.828626617
