,SPI_3M_future_mean,Monthly_NDVI_future_mean
2023-03-31,0.7150085608049462,0.5402425267532573
2023-04-30,0.4122969373467633,0.542217122365367
2023-05-31,0.29709018766591866,0.5145708322519476
