Series,"order(p,d,q)","seasonal_order(P,D,Q,12)",best_AIC,MAE_test(12mo)
SPI_3M,"(1, 0, 2)","(0, 0, 1, 12)",468.0510821053594,1.6048315731676581
Monthly_NDVI,"(2, 0, 1)","(1, 0, 1, 12)",-493.73868716213246,0.1044310818043564
